"country","HeartDiseaseRates_ASR_DALYsPer100k_2021","HeartDiseaseRates_ASR_DeathsPer100k_2021","HeartDiseaseRates_ASR_PrevalencePer100k_2021","HeartDiseaseRates_AllAgesTotalDALYs_2021","HeartDiseaseRates_AllAgesTotalDeaths_2021","HeartDiseaseRates_AllAgesTotalPrevelence_2021","HeartDiseaseRates_AllAges_DALYsPer100k_2021","HeartDiseaseRates_AllAges_DeathsPer100k_2021","HeartDiseaseRates_AllAges_PrevalencePer100k_2021"
"Burkina Faso",6198.8,300.1,8243.6,648000,23900,973000,2678.5,98.8,4018
"Taiwan",2100.4,94.2,6626.6,843000,40700,2740000,3560.5,170.6,11478.3
"Sri Lanka",4624.5,254.2,5571.3,1190000,58600,1480000,5355.1,264.1,6671.6
"Malawi",6644.4,318.6,7498.9,562000,20800,812000,2884.9,106.4,4156.7
"Zambia",3955,218.1,7407.4,278000,10800,767000,1433.4,55.8,3950.1
"Kazakhstan",8588.6,478.3,7532.4,1480000,69100,1350000,7810.8,363.5,7085
"Chad",7516.7,354.6,8127.2,518000,18200,629000,2935.7,103.1,3560.8
"Chile",2276.3,118.8,5414.6,570000,30400,1350000,3066.9,163.4,7249.6
"Romania",6390.1,364.6,6647.9,2410000,152000,2430000,12738.6,797,12766.6
"Somalia",6866.5,324.8,6915.2,552000,18100,756000,2519.2,82.3,3439.1
"Senegal",6941.4,346.7,8807.5,565000,23100,819000,3582.7,146.3,5191.5
"Guatemala",2985.4,169,6447.6,362000,16300,883000,1951.7,87.5,4750.4
"Netherlands",1763.5,103.2,6086.8,632000,41200,2050000,3658.2,237.7,11829.3
"Ecuador",2989.1,163.7,6519,470000,22400,1090000,2571.7,122.6,5944.3
"Cambodia",6592.9,340.6,5568.8,819000,35200,730000,4791.2,205.4,4256.1
"Zimbabwe",8112.9,394.4,9587.6,618000,22800,848000,3988.3,146.9,5463.2
"Guinea",7363,349.8,8008.9,461000,17600,547000,3455.8,131.9,4103.9
"Benin",6219.9,307.5,7858.2,349000,13300,524000,2584.1,98.6,3873.3
"Rwanda",5204.8,264,7018.7,343000,13300,584000,2587.4,99.8,4388
"Burundi",6219.5,293.8,7141.1,337000,11600,487000,2643,90.9,3812.9
"Bolivia",3755.8,191.3,6208.6,350000,15200,625000,2809.6,121.9,5008.2
"Tunisia",5301,293.1,9400.5,681000,34600,1250000,5806,294.1,10642.6
"South Sudan",6240.6,287.5,7222.9,288000,9850,374000,3149.2,107.1,4072.5
"Haiti",10036.4,479.2,7351,796000,29700,635000,6153.3,229.8,4908.9
"Belgium",1769.7,99.3,6215,432000,29500,1360000,3747.3,255.9,11776.1
"Jordan",4332.9,235,9561.5,317000,12900,764000,2481.9,101.1,5963.1
"Dominican Republic",5973.6,286.9,7413.2,590000,26200,746000,5303.4,235.4,6697.9
"United Arab Emirates",4633.2,257.4,11056.7,206000,5440,729000,2149.1,56.8,7615.3
"Cuba",3952.9,201.7,7393.6,764000,42200,1320000,6752.5,369.9,11566.3
"Honduras",6069,330.1,6589.8,386000,17900,482000,3762.3,173.9,4690.5
"Czech Republic",3640.2,213.2,8231.8,790000,49800,1690000,7403.7,463.5,15720.9
"Sweden",2092.3,117.1,7509.1,473000,31300,1510000,4545,299.7,14496.9
"Tajikistan",10105,624.6,7444.1,437000,18900,442000,4403.1,189.6,4439.7
"Papua New Guinea",7723.1,339.7,6305.1,460000,14500,370000,4400.8,138.6,3533.5
"Portugal",1978.7,112.5,4974.2,498000,34300,1160000,4691,322.9,10951.6
"Azerbaijan",9929.2,626.5,8008.2,832000,38700,783000,7928.9,365.7,7403.7
"Greece",2786.9,159,5076,689000,50300,1160000,6756.7,491.6,11382.2
"Hungary",5154.8,292.2,6919.3,1000000,62500,1310000,10449.8,647.6,13603.5
"Togo",7801.3,374.5,8378.6,324000,11800,397000,3908.8,141.7,4778.6
"Israel",1525.6,82.4,6058.7,191000,11400,734000,1979.4,117.6,7582.6
"Austria",2376.7,139.9,6973.2,463000,32100,1230000,5118,353.7,13562.8
"Belarus",8708.8,469.5,7155,1400000,79100,1140000,14763.3,829.7,11918.9
"Switzerland",1445.8,90.6,5320.7,282000,21200,920000,3150.2,236.3,10256.6
"Sierra Leone",7579.9,359.7,8558.7,324000,11900,410000,3691.2,135.4,4676.1
"Laos",8649.2,421.6,6004.5,418000,16100,304000,5688.8,218.7,4125.9
"Turkmenistan",10953.5,539.4,8485.7,451000,18900,361000,8666,362.9,6907.9
"Libya",6878.2,306.8,10740.4,381000,14900,630000,5556.5,216.8,9146
"Kyrgyzstan",7907.7,427.4,7196.3,372000,17100,366000,5510.4,251.4,5395.3
"Paraguay",4096,204.9,6634.1,243000,11500,414000,3416.8,160.7,5808.7
"Nicaragua",3124.2,180.6,6674.5,143000,6530,348000,2132.9,97.4,5200.5
"Bulgaria",9290.7,535.8,7102.1,1300000,78600,975000,18977.4,1147.3,14230.2
"Serbia",7083.1,478.2,7126.6,1090000,68300,1120000,12498,784.5,12849.3
"El Salvador",3013.9,148.2,6376.6,191000,9990,402000,3018.7,157.8,6349.7
"Republic of the Congo",8589.6,427.2,8216.4,245000,9260,283000,4435.4,167.6,5130.6
"Denmark",1754.3,99.1,5870.5,209000,13300,666000,3564.7,225.6,11318.9
"Singapore",1753.1,81.5,4668.5,147000,6670,395000,2564,114.2,6747.7
"Lebanon",2826.3,134.2,10364.8,153000,7140,564000,2907.9,135,10661.2
"Finland",2619.5,152.2,6388.6,339000,23600,762000,6107.3,422.4,13662.3
"Liberia",7477.1,360.3,8190.1,178000,6520,224000,3575.5,131,4500.3
